fecha,producto,sucursal,cantidad_vendida,precio_unitario,costo_unitario,venta_total,costo_total,margen,hora,dia,semana
2025-06-05 06:00:00,Bebida de Tamarindo,San Cristóbal,4,19.840441599617545,13.503620957700885,79.36176639847018,54.01448383080354,25.34728256766664,6,2025-06-05,23
2025-06-12 06:00:00,Bebida de Tamarindo,Zona 10,2,29.281054467562534,7.902123116754384,58.56210893512507,15.804246233508769,42.7578627016163,6,2025-06-12,24
2025-06-05 10:00:00,Choripán Veggie,San Cristóbal,3,16.827829726635528,8.16839907257009,50.483489179906584,24.50519721771027,25.978291962196316,10,2025-06-05,23
2025-06-03 23:00:00,Choripán Clásico,Cayalá,1,18.985406729336017,14.81185607356812,18.985406729336017,14.81185607356812,4.173550655767897,23,2025-06-03,23
2025-06-08 20:00:00,Papas Gauchitas,Miraflores,2,32.54940093308964,11.432461428662258,65.09880186617929,22.864922857324515,42.23387900885477,20,2025-06-08,23
2025-06-01 20:00:00,Torito con Queso,Oakland,5,29.774463014531328,18.924484865509847,148.87231507265665,94.62242432754923,54.24989074510742,20,2025-06-01,22
2025-06-05 06:00:00,Torito con Queso,Cayalá,1,15.274911080226905,12.285676985673138,15.274911080226905,12.285676985673138,2.989234094553767,6,2025-06-05,23
2025-06-06 01:00:00,Bebida de Tamarindo,Cayalá,2,19.967525207396005,8.862658963134335,39.93505041479201,17.72531792626867,22.20973248852334,1,2025-06-06,23
2025-06-09 22:00:00,Choripán Veggie,San Cristóbal,2,19.28812965986329,16.291344835526466,38.57625931972658,32.58268967105293,5.993569648673649,22,2025-06-09,24
2025-06-14 18:00:00,Torito con Queso,Zona 10,3,20.41612656073945,10.813594478733128,61.24837968221835,32.44078343619938,28.807596246018967,18,2025-06-14,24
2025-06-04 15:00:00,Choripán Clásico,Miraflores,3,19.95119540559773,13.831113995626612,59.85358621679319,41.49334198687984,18.36024422991335,15,2025-06-04,23
2025-06-05 03:00:00,Bebida de Tamarindo,Zona 10,5,16.250525914856915,16.07182621156721,81.25262957428458,80.35913105783605,0.8934985164485312,3,2025-06-05,23
2025-06-07 07:00:00,Papas Gauchitas,Miraflores,2,24.178810331936408,18.703433445626914,48.357620663872815,37.40686689125383,10.950753772618988,7,2025-06-07,23
2025-06-06 10:00:00,Bebida de Tamarindo,Miraflores,2,29.654669495723304,17.29848553242179,59.30933899144661,34.59697106484358,24.71236792660303,10,2025-06-06,23
2025-06-07 05:00:00,Papas Gauchitas,Zona 10,3,27.134634494348727,15.792693882345413,81.40390348304618,47.37808164703624,34.02582183600994,5,2025-06-07,23
2025-06-13 20:00:00,Bebida de Tamarindo,Cayalá,1,28.457433371961596,15.835231371136867,28.457433371961596,15.835231371136867,12.622202000824728,20,2025-06-13,24
2025-06-11 17:00:00,Bebida de Tamarindo,Miraflores,1,16.622983570724784,19.297020372417123,16.622983570724784,19.297020372417123,-2.6740368016923384,17,2025-06-11,24
2025-06-13 05:00:00,Bebida de Tamarindo,Zona 10,4,34.02981420353574,10.845713267454968,136.11925681414297,43.38285306981987,92.7364037443231,5,2025-06-13,24
2025-06-08 23:00:00,Papas Gauchitas,Miraflores,3,31.769836676860496,7.014457224550436,95.30951003058149,21.043371673651308,74.26613835693018,23,2025-06-08,23
2025-06-12 12:00:00,Papas Gauchitas,Oakland,4,31.101806369913255,10.535409272176583,124.40722547965302,42.14163708870633,82.26558839094669,12,2025-06-12,24
2025-06-07 16:00:00,Bebida de Tamarindo,Cayalá,3,31.45967610083535,9.832587935147671,94.37902830250604,29.497763805443014,64.88126449706303,16,2025-06-07,23
2025-06-14 01:00:00,Torito con Queso,San Cristóbal,5,33.654210162655225,15.603849606481976,168.27105081327613,78.01924803240988,90.25180278086626,1,2025-06-14,24
2025-06-01 21:00:00,Choripán Veggie,Miraflores,2,25.885079322273953,15.238250796951878,51.770158644547905,30.476501593903755,21.29365705064415,21,2025-06-01,22
2025-06-11 12:00:00,Choripán Veggie,Oakland,5,19.00564035735252,14.71499797516141,95.0282017867626,73.57498987580705,21.453211910955545,12,2025-06-11,24
2025-06-10 19:00:00,Choripán Veggie,San Cristóbal,3,27.335672157050823,7.211164761722898,82.00701647115247,21.633494285168695,60.373522185983774,19,2025-06-10,24
2025-06-03 00:00:00,Papas Gauchitas,San Cristóbal,2,29.857629873358782,16.47411470785842,59.715259746717564,32.94822941571684,26.767030331000726,0,2025-06-03,23
2025-06-03 10:00:00,Papas Gauchitas,Miraflores,1,29.75834786708051,11.20589536231139,29.75834786708051,11.20589536231139,18.55245250476912,10,2025-06-03,23
2025-06-08 01:00:00,Torito con Queso,Zona 10,1,25.428980483337604,15.645727857086204,25.428980483337604,15.645727857086204,9.7832526262514,1,2025-06-08,23
2025-06-08 19:00:00,Choripán Veggie,Miraflores,4,16.36917438667156,14.235519570527993,65.47669754668624,56.94207828211197,8.534619264574268,19,2025-06-08,23
2025-06-12 06:00:00,Choripán Veggie,Oakland,3,22.422258768602557,11.455502030562794,67.26677630580767,34.36650609168838,32.90027021411929,6,2025-06-12,24
2025-06-08 21:00:00,Bebida de Tamarindo,San Cristóbal,3,33.415332169267145,8.749491472353402,100.24599650780144,26.248474417060205,73.99752209074123,21,2025-06-08,23
2025-06-08 06:00:00,Papas Gauchitas,Miraflores,1,26.688978195148522,8.227445669586253,26.688978195148522,8.227445669586253,18.46153252556227,6,2025-06-08,23
2025-06-03 02:00:00,Choripán Veggie,Zona 10,5,25.766638865114267,17.809738330458906,128.83319432557133,89.04869165229454,39.78450267327679,2,2025-06-03,23
2025-06-03 06:00:00,Torito con Queso,Miraflores,2,20.37707028764387,18.939168047060253,40.75414057528774,37.878336094120506,2.8758044811672363,6,2025-06-03,23
2025-06-11 03:00:00,Torito con Queso,Cayalá,5,22.368978398331578,15.447244607935895,111.84489199165789,77.23622303967947,34.608668951978416,3,2025-06-11,24
2025-06-14 07:00:00,Choripán Veggie,Zona 10,5,32.90692178306338,8.344643493186284,164.5346089153169,41.72321746593142,122.8113914493855,7,2025-06-14,24
2025-06-06 10:00:00,Papas Gauchitas,Oakland,1,28.329260950536714,12.226353819547128,28.329260950536714,12.226353819547128,16.102907130989585,10,2025-06-06,23
2025-06-13 18:00:00,Torito con Queso,San Cristóbal,1,30.747740535046656,16.476209601367046,30.747740535046656,16.476209601367046,14.27153093367961,18,2025-06-13,24
2025-06-06 14:00:00,Bebida de Tamarindo,Miraflores,1,24.086908461353104,17.137671492130885,24.086908461353104,17.137671492130885,6.94923696922222,14,2025-06-06,23
2025-06-01 20:00:00,Torito con Queso,Zona 10,4,27.60494438912316,8.536842089784152,110.41977755649263,34.14736835913661,76.27240919735603,20,2025-06-01,22
2025-06-14 16:00:00,Choripán Clásico,Cayalá,5,19.96767217486415,7.0003993449899715,99.83836087432074,35.001996724949855,64.8363641493709,16,2025-06-14,24
2025-06-07 22:00:00,Choripán Clásico,Zona 10,3,29.109216605669726,16.257781596447863,87.32764981700917,48.77334478934359,38.554305027665585,22,2025-06-07,23
2025-06-12 09:00:00,Papas Gauchitas,Cayalá,2,23.552026674066745,11.635750287820674,47.10405334813349,23.271500575641348,23.832552772492143,9,2025-06-12,24
